Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
GJ126,11:15.4,-46:31:03.456,M1V,N/A,12.92,11.599,10.794,25.12,GJ126_harps_all-data_v1.dat,GJ126_harps_all-data_v1.csv
GJ1279,09:41.0,-67:43:58.161,K6V,N/A,9.59,8.39,7.825,14.84,GJ1279_harps_all-data_v1.dat,GJ1279_harps_all-data_v1.csv
GJ1280,10:20.6,-68:50:20.024,K3+Vk:,N/A,9.8,8.78,8.368,21.05,GJ1280_harps_all-data_v1.dat,GJ1280_harps_all-data_v1.csv
GJ1282,16:57.7,-62:00:04.318,F6V,6296,6.146,5.647,5.502,20.46,GJ1282_harps_all-data_v1.dat,GJ1282_harps_all-data_v1.csv
GJ128,12:46.4,-01:11:45.949,F8.5V,6071,5.631,5.07,4.885,22.54,GJ128_harps_all-data_v1.dat,GJ128_harps_all-data_v1.csv
GJ12,15:49.2,+13:33:22.318,M4V,N/A,14,12.6,11.396,12.21,GJ12_harps_all-data_v1.dat,GJ12_harps_all-data_v1.csv
GJ131,14:44.6,-26:26:46.495,K5.5Vk:,4329.9,10.387,9.141,8.651,18.67,GJ131_harps_all-data_v1.dat,GJ131_harps_all-data_v1.csv
GJ132,15:06.4,-45:39:53.360,G5VFe-1.2CH-1,5908.7,7.334,6.756,6.596,24.56,GJ132_harps_all-data_v1.dat,GJ132_harps_all-data_v1.csv
GJ135,19:01.9,-02:50:35.492,G1.5V,N/A,7.697,7.039,6.872,24,GJ135_harps_all-data_v1.dat,GJ135_harps_all-data_v1.csv
GJ136,17:46.2,-62:34:31.154,G2.5VHdel1,N/A,6.18,5.54,5.306,12.04,GJ136_harps_all-data_v1.dat,GJ136_harps_all-data_v1.csv
GJ138,18:12.8,-62:30:22.917,G1V,N/A,5.84,5.24,5.019,12.05,GJ138_harps_all-data_v1.dat,GJ138_harps_all-data_v1.csv
GJ143.1,29:19.8,-11:40:42.124,M0V,N/A,11.415,9.991,9.334,21.04,GJ143.1_harps_all-data_v1.dat,GJ143.1_harps_all-data_v1.csv
GJ143,26:59.2,-63:29:56.761,K4.5V,N/A,9.302,8.143,7.679,16.33,GJ143_harps_all-data_v1.dat,GJ143_harps_all-data_v1.csv
GJ146,35:00.9,-48:25:08.906,K5/M0V,N/A,9.89,8.57,8.019,13.6,GJ146_harps_all-data_v1.dat,GJ146_harps_all-data_v1.csv
GJ149,42:44.7,-24:27:58.770,K4.5V,N/A,10.33,9.192,8.772,26.04,GJ149_harps_all-data_v1.dat,GJ149_harps_all-data_v1.csv
GJ150.0,43:14.9,-09:45:48.208,K0+IV,N/A,4.46,3.54,3.135,9.07,GJ150.0_harps_all-data_v1.dat,GJ150.0_harps_all-data_v1.csv
GJ159,02:36.7,-00:16:08.118,F7V,N/A,5.88,5.38,5.23,18.77,GJ159_harps_all-data_v1.dat,GJ159_harps_all-data_v1.csv
GJ162.2,08:35.7,-59:31:36.550,K5.5Vk:,4376.7,10.91,9.72,9.231,27.33,GJ162.2_harps_all-data_v1.dat,GJ162.2_harps_all-data_v1.csv
GJ163,09:15.7,-53:22:25.289,M3.5,N/A,13.302,11.811,10.677,15.14,GJ163_harps_all-data_v1.dat,GJ163_harps_all-data_v1.csv
GJ166C,15:21.5,-07:39:20.718,M4.5V,N/A,12.85,11.17,9.761,5.01,GJ166C_harps_all-data_v1.dat,GJ166C_harps_all-data_v1.csv
GJ167.2,17:09.1,-26:02:48.745,M1,N/A,13.14,11.77,11.011,35.22,GJ167.2_harps_all-data_v1.dat,GJ167.2_harps_all-data_v1.csv
GJ16,18:16.6,+10:12:10.038,M1V,3860,12.39,10.864,10.001,16.78,GJ16_harps_all-data_v1.dat,GJ16_harps_all-data_v1.csv
GJ173,37:41.9,-11:02:19.970,M1V,N/A,11.838,10.331,9.402,11.21,GJ173_harps_all-data_v1.dat,GJ173_harps_all-data_v1.csv
GJ177.1,48:36.4,-05:40:26.554,G2IV,N/A,6.4,5.77,5.6,26.18,GJ177.1_harps_all-data_v1.dat,GJ177.1_harps_all-data_v1.csv
GJ177,47:36.3,-16:56:04.041,G2.5IV-V,5867,6.14,5.5,5.293,13.24,GJ177_harps_all-data_v1.dat,GJ177_harps_all-data_v1.csv
GJ178,49:50.4,+06:57:40.588,F6V,N/A,3.63,3.19,2.965,8.04,GJ178_harps_all-data_v1.dat,GJ178_harps_all-data_v1.csv
GJ179,52:05.7,+06:28:35.589,M2V,N/A,13.568,12.018,10.705,12.36,GJ179_harps_all-data_v1.dat,GJ179_harps_all-data_v1.csv
GJ17,20:04.3,-64:52:29.254,F9.5V,N/A,4.8,4.23,3.987,8.53,GJ17_harps_all-data_v1.dat,GJ17_harps_all-data_v1.csv
GJ18.0,24:25.9,-27:01:36.382,K3V,N/A,8.861,7.916,7.617,17.95,GJ18.0_harps_all-data_v1.dat,GJ18.0_harps_all-data_v1.csv
GJ180,53:50.0,-17:46:24.309,M3V,N/A,12.443,10.894,9.934,11.94,GJ180_harps_all-data_v1.dat,GJ180_harps_all-data_v1.csv
GJ182,59:34.8,+01:47:00.672,M0Ve,3986.1,11.48,10.107,9.319,24.4,GJ182_harps_all-data_v1.dat,GJ182_harps_all-data_v1.csv
GJ183,00:49.0,-05:45:13.220,K3+V,N/A,7.27,6.21,5.869,8.85,GJ183_harps_all-data_v1.dat,GJ183_harps_all-data_v1.csv
GJ187,02:48.7,-49:09:05.054,F5V,6560.7,5.796,5.372,5.248,26.17,GJ187_harps_all-data_v1.dat,GJ187_harps_all-data_v1.csv
GJ188,07:27.0,+18:38:42.179,G4V,N/A,5.65,nan,4.682,15.89,GJ188_harps_all-data_v1.dat,GJ188_harps_all-data_v1.csv
GJ189.2,08:43.7,-04:27:22.340,F5.5VkF4mF2,6410,5.546,5.119,4.949,25.12,GJ189.2_harps_all-data_v1.dat,GJ189.2_harps_all-data_v1.csv
GJ191,11:40.6,-45:01:06.353,M1VIp,N/A,10.433,8.853,8.062,3.93,GJ191_harps_all-data_v1.dat,GJ191_harps_all-data_v1.csv
GJ19,25:45.1,-77:15:15.286,G0V,N/A,3.41,2.79,2.527,nan,GJ19_harps_all-data_v1.dat,GJ19_harps_all-data_v1.csv
GJ1,05:24.4,-37:21:26.504,M2V,N/A,10.022,8.562,7.682,4.35,GJ1_harps_all-data_v1.dat,GJ1_harps_all-data_v1.csv
GJ2001,12:50.2,-57:54:45.395,K0V,5400.2,8,7.226,7.01,20.63,GJ2001_harps_all-data_v1.dat,GJ2001_harps_all-data_v1.csv
GJ2018,00:18.5,-25:36:52.750,K4.5V,N/A,11.04,9.86,9.545,36.24,GJ2018_harps_all-data_v1.dat,GJ2018_harps_all-data_v1.csv
GJ2030,23:17.7,-07:47:38.751,G5/6V,4147.7,6.9,6.2,6.013,37.12,GJ2030_harps_all-data_v1.dat,GJ2030_harps_all-data_v1.csv
GJ2033,16:41.7,-12:33:23.080,M1.5+V,3976.6,12.434,10.901,nan,21.36,GJ2033_harps_all-data_v1.dat,GJ2033_harps_all-data_v1.csv
GJ2037,55:41.9,-28:33:50.084,K3.5Vk:,N/A,9.207,8.122,7.761,18.23,GJ2037_harps_all-data_v1.dat,GJ2037_harps_all-data_v1.csv
GJ204.2,29:52.0,-03:26:30.068,M3,N/A,13.55,12.051,10.94,17.31,GJ204.2_harps_all-data_v1.dat,GJ204.2_harps_all-data_v1.csv
GJ2046,54:04.2,-60:01:24.491,K2.5V,4893,8.097,7.147,6.844,12.94,GJ2046_harps_all-data_v1.dat,GJ2046_harps_all-data_v1.csv
GJ2049,21:53.8,-22:43:24.070,M1Vk,N/A,12.061,10.693,10.068,26.88,GJ2049_harps_all-data_v1.dat,GJ2049_harps_all-data_v1.csv
GJ204,28:26.1,-03:29:58.396,K5V,N/A,8.777,7.642,7.232,12.94,GJ204_harps_all-data_v1.dat,GJ204_harps_all-data_v1.csv
GJ2056,12:04.8,-24:53:31.491,M0,4069.9,11.74,10.38,9.723,28.47,GJ2056_harps_all-data_v1.dat,GJ2056_harps_all-data_v1.csv
GJ2058,24:34.3,-17:53:31.986,M0V:,4048.1,11.712,10.315,9.677,24.34,GJ2058_harps_all-data_v1.dat,GJ2058_harps_all-data_v1.csv
GJ205,31:27.4,-03:40:38.021,M1.5Ve,N/A,9.443,7.968,7.098,5.7,GJ205_harps_all-data_v1.dat,GJ205_harps_all-data_v1.csv
GJ2060,28:51.4,-30:14:48.542,M1Ve,3952.6,11.376,9.974,9.059,15.69,GJ2060_harps_all-data_v1.dat,GJ2060_harps_all-data_v1.csv
GJ2066,16:08.0,+01:18:09.267,M2.0V,N/A,11.63,10.091,9.124,8.94,GJ2066_harps_all-data_v1.dat,GJ2066_harps_all-data_v1.csv
GJ2085,23:44.6,+08:33:48.554,M0V,N/A,12.678,11.185,10.326,20.15,GJ2085_harps_all-data_v1.dat,GJ2085_harps_all-data_v1.csv
GJ208,36:31.0,+11:19:40.331,K6V,4105,10.276,8.898,8.208,11.44,GJ208_harps_all-data_v1.dat,GJ208_harps_all-data_v1.csv
GJ2119,12:52.5,-47:06:32.477,M2,4112.8,12.14,11.12,10.412,36.96,GJ2119_harps_all-data_v1.dat,GJ2119_harps_all-data_v1.csv
GJ2126,09:26.6,-35:23:28.781,M0V:,4290.5,11.92,10.68,10.15,38.17,GJ2126_harps_all-data_v1.dat,GJ2126_harps_all-data_v1.csv
GJ2127,15:57.5,-44:14:39.414,K7,N/A,11.36,10.28,9.682,29.24,GJ2127_harps_all-data_v1.dat,GJ2127_harps_all-data_v1.csv
GJ2128,16:41.0,+08:03:30.204,M2.5Ve,N/A,13.087,11.529,10.47,15.12,GJ2128_harps_all-data_v1.dat,GJ2128_harps_all-data_v1.csv
GJ2137,29:22.3,-27:58:19.018,K(2)V,N/A,10.58,9.39,8.932,27.23,GJ2137_harps_all-data_v1.dat,GJ2137_harps_all-data_v1.csv
GJ213,42:09.3,+12:29:21.611,M4V,N/A,13.13,11.509,10.099,5.79,GJ213_harps_all-data_v1.dat,GJ213_harps_all-data_v1.csv
GJ214,41:53.7,-15:37:49.950,G8+VCN+1,N/A,8.16,7.37,7.164,30.09,GJ214_harps_all-data_v1.dat,GJ214_harps_all-data_v1.csv
GJ218,47:40.6,-36:19:42.834,M1.5,N/A,12.194,10.736,9.833,14.5,GJ218_harps_all-data_v1.dat,GJ218_harps_all-data_v1.csv
GJ219.0,47:17.1,-51:03:59.441,A6V,7099.5,4.03,3.86,3.725,19.75,GJ219.0_harps_all-data_v1.dat,GJ219.0_harps_all-data_v1.csv
GJ221,53:00.3,-05:59:41.442,K7V/M0V,N/A,11.041,9.693,9.107,20.28,GJ221_harps_all-data_v1.dat,GJ221_harps_all-data_v1.csv
GJ223.3,54:10.8,-50:21:45.181,K1IV-V,N/A,7.42,6.52,6.271,35.71,GJ223.3_harps_all-data_v1.dat,GJ223.3_harps_all-data_v1.csv
GJ224,56:03.4,+13:55:29.695,G8,N/A,7.252,6.6,6.443,27.51,GJ224_harps_all-data_v1.dat,GJ224_harps_all-data_v1.csv
GJ225.1,59:55.8,-37:03:24.190,G5V,N/A,9.23,8.61,8.452,53.19,GJ225.1_harps_all-data_v1.dat,GJ225.1_harps_all-data_v1.csv
GJ225,56:24.3,-14:10:03.718,F2V,6559.7,4.05,3.72,3.551,14.51,GJ225_harps_all-data_v1.dat,GJ225_harps_all-data_v1.csv
GJ227,06:40.5,+15:32:31.579,K0V,5306,7.565,nan,6.524,15.78,GJ227_harps_all-data_v1.dat,GJ227_harps_all-data_v1.csv
GJ230,13:12.5,+10:37:37.713,G5V,N/A,7.12,nan,6.261,18.65,GJ230_harps_all-data_v1.dat,GJ230_harps_all-data_v1.csv
GJ233,26:10.3,+18:45:24.784,K2Ve,4786.1,7.74,nan,6.474,14.76,GJ233_harps_all-data_v1.dat,GJ233_harps_all-data_v1.csv
GJ234,29:23.4,-02:48:48.803,M4.5V,N/A,12.764,11.071,9.581,4.12,GJ234_harps_all-data_v1.dat,GJ234_harps_all-data_v1.csv
GJ236,32:08.8,-27:01:58.171,M0,N/A,12.74,11.404,10.733,30.09,GJ236_harps_all-data_v1.dat,GJ236_harps_all-data_v1.csv
GJ238,33:50.0,-58:31:42.449,M2.5,N/A,13.11,11.57,10.529,15.22,GJ238_harps_all-data_v1.dat,GJ238_harps_all-data_v1.csv
GJ243,44:52.0,-27:20:29.998,G0VFe-0.8CH-0.5,N/A,6.99,6.43,6.282,26.9,GJ243_harps_all-data_v1.dat,GJ243_harps_all-data_v1.csv
GJ245.1,45:22.9,-31:47:37.132,F6.5V,N/A,6.4,5.92,5.782,24.01,GJ245.1_harps_all-data_v1.dat,GJ245.1_harps_all-data_v1.csv
GJ250,52:18.0,-05:10:25.366,K3.5V,N/A,7.64,6.57,6.217,8.75,GJ250_harps_all-data_v1.dat,GJ250_harps_all-data_v1.csv
GJ253,54:51.3,-55:15:33.581,K0IV-V,5358.3,8.947,8.17,7.961,35.09,GJ253_harps_all-data_v1.dat,GJ253_harps_all-data_v1.csv
GJ260,59:59.7,-61:20:10.249,G9V,N/A,7.609,6.803,6.605,18.36,GJ260_harps_all-data_v1.dat,GJ260_harps_all-data_v1.csv
GJ268.2,13:07.1,-63:20:41.813,K6Vk:,N/A,10.348,9.079,8.567,19.62,GJ268.2_harps_all-data_v1.dat,GJ268.2_harps_all-data_v1.csv
GJ273,27:24.5,+05:13:32.833,M3.5V,N/A,11.443,9.872,8.594,3,GJ273_harps_all-data_v1.dat,GJ273_harps_all-data_v1.csv
GJ275,27:25.5,-51:24:09.358,G6.5V,N/A,7.428,6.714,6.531,22.48,GJ275_harps_all-data_v1.dat,GJ275_harps_all-data_v1.csv
GJ279,34:03.2,-22:17:45.838,F6IV-V,6170,4.94,4.39,4.234,25.99,GJ279_harps_all-data_v1.dat,GJ279_harps_all-data_v1.csv
GJ280,39:18.1,+05:13:29.955,F5IV-V+DQZ,N/A,0.79,0.37,nan,nan,GJ280_harps_all-data_v1.dat,GJ280_harps_all-data_v1.csv
GJ281,39:23.0,+02:11:01.197,M0.0Ve,N/A,11.055,9.589,8.894,15.06,GJ281_harps_all-data_v1.dat,GJ281_harps_all-data_v1.csv
GJ285,44:40.2,+03:33:08.877,M4.0Ve,N/A,12.831,11.225,9.681,5.99,GJ285_harps_all-data_v1.dat,GJ285_harps_all-data_v1.csv
GJ288,45:34.9,-34:10:21.283,F9V,N/A,5.95,5.37,5.149,15.36,GJ288_harps_all-data_v1.dat,GJ288_harps_all-data_v1.csv
GJ291.1,51:03.3,-50:18:18.007,K6V,4438,11.13,10.01,9.585,32.49,GJ291.1_harps_all-data_v1.dat,GJ291.1_harps_all-data_v1.csv
GJ293.1,57:57.8,-00:48:51.874,K4V,4729.9,9.105,8.077,7.728,17.65,GJ293.1_harps_all-data_v1.dat,GJ293.1_harps_all-data_v1.csv
GJ294A,57:46.9,-60:18:11.051,F9.5V,N/A,6.17,5.6,5.414,16.2,GJ294A_harps_all-data_v1.dat,GJ294A_harps_all-data_v1.csv
GJ294B,57:54.9,-60:17:58.399,N/A,N/A,nan,nan,9.203,16.17,GJ294B_harps_all-data_v1.dat,GJ294B_harps_all-data_v1.csv
GJ298,09:58.1,-52:58:05.422,M3.0,N/A,13.24,11.74,10.649,16.18,GJ298_harps_all-data_v1.dat,GJ298_harps_all-data_v1.csv
GJ299,11:57.6,+08:46:22.983,M4.5Ve,N/A,14.6,12.834,11.376,6.87,GJ299_harps_all-data_v1.dat,GJ299_harps_all-data_v1.csv
GJ29,40:25.7,-59:27:16.565,G0VFe-0.9CH-0.4,N/A,6.44,5.88,5.743,25.25,GJ29_harps_all-data_v1.dat,GJ29_harps_all-data_v1.csv
GJ300,12:40.9,-21:33:06.982,M3.5V,N/A,13.7,12.131,10.665,8.12,GJ300_harps_all-data_v1.dat,GJ300_harps_all-data_v1.csv
GJ3018,15:51.5,-67:59:51.823,M0.5,N/A,13.2,10.915,10.106,18.77,GJ3018_harps_all-data_v1.dat,GJ3018_harps_all-data_v1.csv
GJ3021,16:12.7,-79:51:04.244,G8V,N/A,7.335,6.578,6.394,17.56,GJ3021_harps_all-data_v1.dat,GJ3021_harps_all-data_v1.csv
GJ302,18:23.9,-12:37:55.810,G8:V,N/A,6.74,5.95,5.739,12.56,GJ302_harps_all-data_v1.dat,GJ302_harps_all-data_v1.csv
GJ3049,43:26.0,-41:17:34.027,M5,N/A,14,11.51,11.561,10.23,GJ3049_harps_all-data_v1.dat,GJ3049_harps_all-data_v1.csv
GJ3053,44:59.3,-15:16:17.543,M4.5,3872,nan,14.15,12.671,14.99,GJ3053_harps_all-data_v1.dat,GJ3053_harps_all-data_v1.csv
GJ3071,02:24.6,+05:03:41.214,K2V,N/A,9.175,8.131,7.888,15.21,GJ3071_harps_all-data_v1.dat,GJ3071_harps_all-data_v1.csv
GJ3072,02:21.1,-10:25:25.894,M0V,4095.8,11.389,9.993,9.378,21.11,GJ3072_harps_all-data_v1.dat,GJ3072_harps_all-data_v1.csv
GJ3082,14:34.2,-53:56:31.610,M3V,N/A,12.591,11.077,10.201,16.63,GJ3082_harps_all-data_v1.dat,GJ3082_harps_all-data_v1.csv
GJ3091,22:07.6,-26:53:35.158,K2V,4914,9.75,8.76,8.475,30.71,GJ3091_harps_all-data_v1.dat,GJ3091_harps_all-data_v1.csv
GJ309,32:51.5,-31:30:03.062,K1V,N/A,7.17,6.38,6.151,12.18,GJ309_harps_all-data_v1.dat,GJ309_harps_all-data_v1.csv
GJ31.3,44:44.4,-22:00:22.078,F3VFe-1,6911.5,5.542,5.22,5.098,27.25,GJ31.3_harps_all-data_v1.dat,GJ31.3_harps_all-data_v1.csv
GJ3102,37:20.8,-49:11:44.376,M0V,N/A,11.834,10.391,9.663,22.16,GJ3102_harps_all-data_v1.dat,GJ3102_harps_all-data_v1.csv
GJ3110,42:55.8,-42:12:12.411,M0,N/A,12.7,11.147,10.436,26.23,GJ3110_harps_all-data_v1.dat,GJ3110_harps_all-data_v1.csv
GJ312,37:20.0,-40:08:51.600,G0Vp,N/A,7.15,6.55,6.374,27.64,GJ312_harps_all-data_v1.dat,GJ312_harps_all-data_v1.csv
GJ3138,09:10.9,-16:20:22.528,K9Vk:,N/A,12.82,10.877,10.192,28.49,GJ3138_harps_all-data_v1.dat,GJ3138_harps_all-data_v1.csv
GJ313,38:45.3,-13:15:24.090,K4+Vk:,4646,10.87,9.63,9.27,31.6,GJ313_harps_all-data_v1.dat,GJ313_harps_all-data_v1.csv
GJ3141,11:18.1,-63:13:40.930,M3,N/A,13.5,nan,11.162,14.83,GJ3141_harps_all-data_v1.dat,GJ3141_harps_all-data_v1.csv
GJ3148,16:41.2,-30:59:18.227,M3Ve,N/A,13.588,12.027,10.777,13.41,GJ3148_harps_all-data_v1.dat,GJ3148_harps_all-data_v1.csv
GJ3161,32:54.1,+15:02:04.310,F8V,5905.3,6.541,5.988,5.86,28.69,GJ3161_harps_all-data_v1.dat,GJ3161_harps_all-data_v1.csv
GJ317,40:59.2,-23:27:22.598,M3.5V,N/A,13.2,11.975,10.754,15.2,GJ317_harps_all-data_v1.dat,GJ317_harps_all-data_v1.csv
GJ3187,52:19.7,-33:27:02.288,K2V,N/A,8.93,8.09,7.844,25.46,GJ3187_harps_all-data_v1.dat,GJ3187_harps_all-data_v1.csv
GJ3189,58:10.2,-12:53:06.000,sdM3.0,N/A,14.4,12.669,11.591,11.52,GJ3189_harps_all-data_v1.dat,GJ3189_harps_all-data_v1.csv
GJ3193,01:51.4,-16:35:36.022,M3.0,N/A,12.191,10.529,10.047,6.87,GJ3193_harps_all-data_v1.dat,GJ3193_harps_all-data_v1.csv
GJ31,43:35.4,-17:59:11.782,G9.5IIICH-1,N/A,3.02,2.01,nan,nan,GJ31_harps_all-data_v1.dat,GJ31_harps_all-data_v1.csv
GJ3200,07:18.6,-13:45:42.419,G3V,N/A,7.65,7,6.798,32.03,GJ3200_harps_all-data_v1.dat,GJ3200_harps_all-data_v1.csv
GJ3202,07:33.8,-03:58:17.144,K7V,N/A,12.35,10.858,nan,nan,GJ3202_harps_all-data_v1.dat,GJ3202_harps_all-data_v1.csv
GJ3205,10:15.5,+05:54:31.471,M2.5Ve,N/A,13.401,11.847,10.882,18.1,GJ3205_harps_all-data_v1.dat,GJ3205_harps_all-data_v1.csv
GJ3207,11:35.2,-38:47:23.436,MV,N/A,13.02,13.746,12.571,22.56,GJ3207_harps_all-data_v1.dat,GJ3207_harps_all-data_v1.csv
GJ321.3,44:42.2,-54:42:31.76,A2IV+A4V,N/A,nan,nan,nan,nan,GJ321.3_harps_all-data_v1.dat,GJ321.3_harps_all-data_v1.csv
GJ3212,14:36.7,-09:40:02.592,M0,N/A,12.96,11.609,10.793,22.16,GJ3212_harps_all-data_v1.dat,GJ3212_harps_all-data_v1.csv
GJ3218,21:46.9,-06:40:24.217,M2V,N/A,12.49,11.314,10.352,17.23,GJ3218_harps_all-data_v1.dat,GJ3218_harps_all-data_v1.csv
GJ3221,23:22.4,+11:41:13.361,M3.5V,N/A,13.76,nan,11.099,17.11,GJ3221_harps_all-data_v1.dat,GJ3221_harps_all-data_v1.csv
GJ3222,23:35.3,-40:04:34.968,K0V,4424,7.758,6.903,6.689,17.7,GJ3222_harps_all-data_v1.dat,GJ3222_harps_all-data_v1.csv
GJ3256,54:25.6,-09:09:31.028,M3,3793.3,12.74,11.17,nan,21.1,GJ3256_harps_all-data_v1.dat,GJ3256_harps_all-data_v1.csv
GJ3258,56:28.7,-25:10:52.828,K0VFe-1.2CH-0.9,N/A,7.63,6.88,6.665,40.63,GJ3258_harps_all-data_v1.dat,GJ3258_harps_all-data_v1.csv
GJ3260,00:40.1,-23:04:52.584,M0,N/A,12.66,11.431,nan,nan,GJ3260_harps_all-data_v1.dat,GJ3260_harps_all-data_v1.csv
GJ3263,07:20.5,-24:29:13.356,M4,N/A,13.91,12.38,nan,nan,GJ3263_harps_all-data_v1.dat,GJ3263_harps_all-data_v1.csv
GJ3279,22:12.5,-57:26:01.003,M3e,N/A,13.7,nan,10.712,16.56,GJ3279_harps_all-data_v1.dat,GJ3279_harps_all-data_v1.csv
GJ327,54:17.9,-05:26:04.046,G2V,N/A,6.67,6,5.832,16.85,GJ327_harps_all-data_v1.dat,GJ327_harps_all-data_v1.csv
GJ3293,28:35.7,-25:10:09.297,M2.5,N/A,13.6,11.962,10.979,20.2,GJ3293_harps_all-data_v1.dat,GJ3293_harps_all-data_v1.csv
GJ3300,34:38.5,-35:39:28.988,G9V,5490,8.38,7.6,7.402,28.17,GJ3300_harps_all-data_v1.dat,GJ3300_harps_all-data_v1.csv
GJ3305,37:37.5,-02:29:28.869,M1.1V,3866.5,12.04,10.59,9.725,26.34,GJ3305_harps_all-data_v1.dat,GJ3305_harps_all-data_v1.csv
GJ3307,40:42.5,+02:13:51.821,M2.0Ve,3978.2,12.538,nan,10.331,23.91,GJ3307_harps_all-data_v1.dat,GJ3307_harps_all-data_v1.csv
GJ3313,47:11.8,+02:09:39.727,M0V,3902.3,12.82,nan,10.552,26.15,GJ3313_harps_all-data_v1.dat,GJ3313_harps_all-data_v1.csv
GJ3314,48:01.1,-10:56:01.125,K5Vk,4472.6,10.66,9.43,9.038,26.5,GJ3314_harps_all-data_v1.dat,GJ3314_harps_all-data_v1.csv
GJ3317,49:52.3,-35:06:27.468,K2V,5076.5,8.397,7.495,7.242,17.71,GJ3317_harps_all-data_v1.dat,GJ3317_harps_all-data_v1.csv
GJ3323,01:57.4,-06:56:46.371,M4.0Ve,N/A,13.92,12.196,10.647,5.38,GJ3323_harps_all-data_v1.dat,GJ3323_harps_all-data_v1.csv
GJ3325,03:20.1,-17:22:24.722,M3V,N/A,13.371,11.735,10.552,9.23,GJ3325_harps_all-data_v1.dat,GJ3325_harps_all-data_v1.csv
GJ3328,06:04.0,+04:20:14.335,M0V,N/A,13.05,nan,10.654,22.74,GJ3328_harps_all-data_v1.dat,GJ3328_harps_all-data_v1.csv
GJ3332,06:49.5,-21:35:03.735,M3?,4425,13.163,11.5,nan,6.37,GJ3332_harps_all-data_v1.dat,GJ3332_harps_all-data_v1.csv
GJ333,59:31.7,-47:26:09.203,M2,N/A,14.4,12.33,11.226,20.88,GJ333_harps_all-data_v1.dat,GJ333_harps_all-data_v1.csv
GJ3340,15:08.0,-07:20:48.507,M1.0V,N/A,13.073,11.542,10.693,21.55,GJ3340_harps_all-data_v1.dat,GJ3340_harps_all-data_v1.csv
GJ3341,15:46.7,-31:17:45.316,M2,N/A,13.58,12.08,11.103,23.64,GJ3341_harps_all-data_v1.dat,GJ3341_harps_all-data_v1.csv
GJ334,06:45.3,-08:48:24.611,K7V,N/A,10.928,9.478,8.783,14.52,GJ334_harps_all-data_v1.dat,GJ334_harps_all-data_v1.csv
GJ3356,34:52.1,+13:52:46.712,M3V,N/A,13.46,nan,10.611,11.93,GJ3356_harps_all-data_v1.dat,GJ3356_harps_all-data_v1.csv
GJ3367,47:18.0,-00:00:48.786,M0,4000.4,13.21,10.928,10.211,26.01,GJ3367_harps_all-data_v1.dat,GJ3367_harps_all-data_v1.csv
GJ3376,58:21.5,-04:39:02.418,F7V,N/A,7.715,6.984,6.808,24.14,GJ3376_harps_all-data_v1.dat,GJ3376_harps_all-data_v1.csv
GJ3379,00:03.5,+02:42:23.596,M3.5Ve,N/A,13.01,11.31,9.897,5.21,GJ3379_harps_all-data_v1.dat,GJ3379_harps_all-data_v1.csv
GJ337,12:17.5,+14:59:45.776,G9V,N/A,7.24,6.51,6.278,20.35,GJ337_harps_all-data_v1.dat,GJ337_harps_all-data_v1.csv
GJ33,48:23.0,+05:16:50.209,K2.5V,N/A,6.64,5.74,5.442,7.43,GJ33_harps_all-data_v1.dat,GJ33_harps_all-data_v1.csv
GJ3404,42:11.2,+03:34:52.626,M3V,N/A,nan,nan,10.893,15.07,GJ3404_harps_all-data_v1.dat,GJ3404_harps_all-data_v1.csv
GJ341,21:37.6,-60:16:55.030,M0.0,N/A,10.955,9.465,8.675,10.46,GJ341_harps_all-data_v1.dat,GJ341_harps_all-data_v1.csv
GJ3436,15:50.8,-13:02:58.131,G7VFe-1.5CH-1.3,N/A,8.36,7.79,7.579,33.14,GJ3436_harps_all-data_v1.dat,GJ3436_harps_all-data_v1.csv
GJ3446,30:42.5,-37:20:21.704,G3V,5806,7.274,6.635,6.494,21.77,GJ3446_harps_all-data_v1.dat,GJ3446_harps_all-data_v1.csv
GJ3449,32:05.8,-08:52:52.773,G0VFe-1.6CH-0.5,6004,6.431,5.916,5.76,28.74,GJ3449_harps_all-data_v1.dat,GJ3449_harps_all-data_v1.csv
GJ3455,36:12.0,-51:55:21.212,M3,N/A,13.932,12.45,11.296,16.32,GJ3455_harps_all-data_v1.dat,GJ3455_harps_all-data_v1.csv
GJ3470,59:05.8,+15:23:29.240,M2.0Ve,3775.5,13.5,nan,11.354,29.45,GJ3470_harps_all-data_v1.dat,GJ3470_harps_all-data_v1.csv
GJ3492,13:42.6,-76:07:48.406,M3,N/A,13.5,11.85,10.8,15.61,GJ3492_harps_all-data_v1.dat,GJ3492_harps_all-data_v1.csv
GJ3493,18:44.4,-15:12:08.499,K5V,4433.7,11.1,9.868,9.373,34.67,GJ3493_harps_all-data_v1.dat,GJ3493_harps_all-data_v1.csv
GJ3502,31:27.2,-06:02:12.579,M3,N/A,13.83,12.36,11.31,25.19,GJ3502_harps_all-data_v1.dat,GJ3502_harps_all-data_v1.csv
GJ3508,37:08.0,+15:07:45.525,M3.0Ve,N/A,13.234,11.749,10.734,17.82,GJ3508_harps_all-data_v1.dat,GJ3508_harps_all-data_v1.csv
